key,asset,hypothesis,start_idx,end_idx,depth,cum_pnl,entry_time,exit_time
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,1801,1807,7,-2971.45,2026-01-19 00:00:00+00:00,2026-01-20 19:00:00+00:00
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,1809,1810,2,-1143.71,2026-01-21 06:00:00+00:00,2026-01-21 08:00:00+00:00
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,1819,1823,5,-712.33,2026-01-24 15:00:00+00:00,2026-01-25 07:00:00+00:00
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,1825,1827,3,-803.16,2026-01-25 13:00:00+00:00,2026-01-25 18:00:00+00:00
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,1835,1838,4,-2181.16,2026-01-29 03:00:00+00:00,2026-01-29 19:00:00+00:00
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,1840,1848,9,-6109.79,2026-01-31 07:00:00+00:00,2026-02-02 04:00:00+00:00
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,1850,1851,2,-1318.41,2026-02-03 15:00:00+00:00,2026-02-03 17:00:00+00:00
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,1853,1863,11,-10792.35,2026-02-03 23:00:00+00:00,2026-02-05 21:00:00+00:00
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,1866,1867,2,-958.94,2026-02-08 09:00:00+00:00,2026-02-08 12:00:00+00:00
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,1869,1870,2,-1138.33,2026-02-08 18:00:00+00:00,2026-02-08 20:00:00+00:00
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,1875,1877,3,-1785.76,2026-02-11 04:00:00+00:00,2026-02-11 08:00:00+00:00
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,1883,1885,3,-1209.39,2026-02-13 15:00:00+00:00,2026-02-14 09:00:00+00:00
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,1887,1890,4,-1506.43,2026-02-14 14:00:00+00:00,2026-02-15 05:00:00+00:00
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,1899,1901,3,-1260.05,2026-02-18 12:00:00+00:00,2026-02-18 19:00:00+00:00
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,1908,1910,3,-706.17,2026-02-22 15:00:00+00:00,2026-02-23 01:00:00+00:00
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,1912,1917,6,-3105.24,2026-02-23 07:00:00+00:00,2026-02-24 04:00:00+00:00
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,1920,1924,5,-2693.27,2026-02-25 02:00:00+00:00,2026-02-25 20:00:00+00:00
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,1927,1930,4,-1848.07,2026-02-27 11:00:00+00:00,2026-02-27 20:00:00+00:00
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,1938,1941,4,-2842.24,2026-03-03 19:00:00+00:00,2026-03-04 15:00:00+00:00
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,1943,1947,5,-2307.74,2026-03-06 12:00:00+00:00,2026-03-07 20:00:00+00:00
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,1950,1952,3,-1113.95,2026-03-08 12:00:00+00:00,2026-03-08 17:00:00+00:00
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,1954,1956,3,-1934.66,2026-03-09 14:00:00+00:00,2026-03-10 09:00:00+00:00
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,1961,1962,2,-1121.62,2026-03-13 01:00:00+00:00,2026-03-13 11:00:00+00:00
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,1965,1971,7,-2205.84,2026-03-15 00:00:00+00:00,2026-03-16 04:00:00+00:00
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,1973,1976,4,-2424.25,2026-03-16 09:00:00+00:00,2026-03-16 22:00:00+00:00
